Loja,Item,Tamanho,Quantidade,Valor
Loja 9,Blazer,GG,3,90.59
Loja 4,Moletom,EGG,4,65.58
Loja 7,Camiseta,P,2,63.42
Loja 6,Shorts,GG,7,83.7
Loja 8,Legging,M,9,28.36
Loja 1,Moletom,G,9,80.61
Loja 8,Shorts Academia,M,8,87.54
Loja 6,Calça Masc,PP,9,80.06
Loja 4,Calça Masc,PP,6,45.17
Loja 8,Top,GG,8,84.66
Loja 2,Baby Look,P,3,28.87
Loja 8,Macacão,EGG,5,10.47
Loja 1,Baby Look,EGG,2,54.11
Loja 1,Blusa,G,8,25.17
Loja 1,Calça Skini,PP,7,82.31
Loja 2,Calça Fem,M,5,64.65
Loja 8,Moletom,GG,4,78.78
Loja 8,Camiseta Mang Long,G,4,74.71
Loja 8,Bermuda,G,6,61.36
Loja 8,Bermuda,P,9,70.2
Loja 6,Blusa,G,4,72.23
Loja 7,Calça Masc,M,6,13.5
Loja 3,Jaqueta,GG,5,59.93
Loja 5,Camiseta Mang Long,P,4,40.64
Loja 9,Legging,G,7,40.15
Loja 9,Camiseta Mang Long,P,9,36.47
Loja 9,Calça Skini,EGG,9,62.63
Loja 2,Shorts Academia,PP,7,21.95
Loja 1,Legging,PP,1,32.46
Loja 3,Camiseta Mang Long,M,7,21.97
Loja 1,Pijama,GG,6,70.89
Loja 2,Regata,EGG,6,56.86
Loja 4,Baby Look,P,10,63.78
Loja 1,Moletom,EGG,4,65.67
Loja 3,Jaqueta,EGG,5,89.56
Loja 10,Baby Look,PP,9,69.77
Loja 6,Regata,G,2,95.39
Loja 8,Shorts Academia,PP,9,41.45
Loja 6,Baby Look,M,2,58.73
Loja 10,Pijama,PP,10,31.2
Loja 2,Jaqueta,G,6,94.68
Loja 1,Legging,PP,6,33.12
Loja 4,Calça Fem,GG,10,94.43
Loja 4,Jaqueta,M,2,14.6
Loja 1,Blazer,PP,2,19.62
Loja 9,Baby Look,GG,2,32.47
Loja 7,Bermuda,PP,3,44.62
Loja 1,Calça Masc,G,3,63.91
Loja 4,Blazer,PP,5,60.4
Loja 8,Vestido,P,2,13.38
Loja 3,Moletom,GG,2,84.44
Loja 3,Blusa,G,2,76.98
Loja 2,Regata,PP,7,36.6
Loja 10,Blusa,EGG,1,34.99
Loja 7,Calça Camuflada,EGG,2,83.2
Loja 2,Camiseta,M,1,41.24
Loja 10,Calça Camuflada,PP,10,76.38
Loja 8,Vestido,EGG,5,55.92
Loja 7,Jaqueta,PP,8,52.26
Loja 10,Top,G,1,90.93
Loja 10,Blusa,G,8,70.46
Loja 7,Calça Masc,P,10,99.55
Loja 3,Top,GG,6,33.22
Loja 6,Calça Fem,EGG,5,75.04
Loja 9,Moletom,P,7,10.04
Loja 6,Jaqueta,PP,7,21.79
Loja 2,Baby Look,M,2,34.37
Loja 9,Calça Masc,PP,1,19.9
Loja 8,Vestido,PP,10,60.16
Loja 2,Camiseta Mang Long,GG,2,25.95
Loja 2,Macacão,G,1,24.19
Loja 9,Bermuda,G,6,36.54
Loja 5,Shorts,GG,6,42.04
Loja 4,Blazer,M,4,83.2
Loja 5,Calça Skini,EGG,8,48.33
Loja 6,Legging,PP,5,53.18
Loja 2,Jaqueta,PP,8,69.75
Loja 1,Shorts,G,1,87.0
Loja 2,Camiseta Mang Long,EGG,6,66.53
Loja 2,Baby Look,PP,7,95.02
Loja 4,Regata,GG,2,93.18
Loja 6,Calça Fem,PP,6,24.34
Loja 8,Pijama,M,5,64.68
Loja 7,Baby Look,M,5,15.75
Loja 1,Calça Camuflada,PP,4,15.51
Loja 5,Macacão,M,2,31.96
Loja 1,Bermuda,GG,9,50.15
Loja 3,Moletom,PP,10,82.97
Loja 7,Macacão,P,3,78.77
Loja 10,Moletom,G,1,45.64
Loja 6,Vestido,GG,2,41.45
Loja 1,Shorts Academia,EGG,3,67.34
Loja 7,Bermuda,GG,9,45.84
Loja 1,Blusa,M,4,48.67
Loja 9,Shorts,EGG,2,83.36
Loja 9,Calça Fem,EGG,2,52.59
Loja 5,Camiseta,PP,1,98.96
Loja 4,Macacão,GG,9,33.76
Loja 6,Camiseta Mang Long,M,8,56.88
Loja 3,Vestido,M,3,57.46
Loja 4,Blazer,G,5,26.66
Loja 2,Vestido,PP,10,43.86
Loja 6,Shorts Academia,EGG,4,74.9
Loja 7,Jaqueta,PP,10,33.14
Loja 5,Vestido,EGG,10,67.04
Loja 5,Camiseta Mang Long,PP,1,58.2
Loja 9,Legging,EGG,8,63.52
Loja 10,Vestido,M,10,12.34
Loja 6,Blusa,EGG,10,96.01
Loja 1,Camiseta Mang Long,M,7,62.82
Loja 9,Top,P,6,86.79
Loja 2,Blusa,G,7,16.65
Loja 5,Baby Look,PP,1,57.79
Loja 10,Baby Look,EGG,10,86.21
Loja 10,Vestido,G,10,13.08
Loja 9,Shorts Academia,EGG,2,50.81
Loja 9,Legging,G,4,63.87
Loja 6,Vestido,PP,5,51.39
Loja 4,Calça Fem,P,8,21.32
Loja 2,Legging,G,3,15.87
Loja 10,Legging,PP,9,14.87
Loja 9,Shorts,EGG,1,24.91
Loja 4,Moletom,G,5,98.77
Loja 4,Moletom,M,8,52.88
Loja 2,Pijama,GG,10,87.7
Loja 7,Camiseta Mang Long,PP,9,26.19
Loja 5,Calça Masc,GG,3,48.52
Loja 8,Jaqueta,P,1,18.36
Loja 3,Regata,P,9,82.8
Loja 6,Macacão,G,9,15.2
Loja 10,Blusa,PP,1,89.1
Loja 10,Pijama,EGG,8,30.1
Loja 8,Bermuda,M,3,57.71
Loja 6,Baby Look,PP,2,87.8
Loja 3,Calça Camuflada,PP,8,65.02
Loja 2,Moletom,EGG,2,60.08
Loja 6,Shorts,EGG,5,17.51
Loja 1,Blusa,PP,8,89.2
Loja 10,Blusa,G,4,46.47
Loja 6,Jaqueta,EGG,9,14.73
Loja 2,Top,EGG,5,29.59
Loja 5,Blazer,G,5,57.33
Loja 8,Moletom,EGG,2,47.84
Loja 7,Camiseta Mang Long,P,10,55.78
Loja 10,Calça Masc,M,4,86.98
Loja 4,Camiseta Mang Long,M,5,48.08
Loja 10,Calça Camuflada,GG,6,68.73
Loja 9,Vestido,P,5,77.04
Loja 5,Top,EGG,2,37.13
Loja 6,Top,EGG,4,62.43
Loja 10,Blusa,PP,5,55.39
Loja 5,Jaqueta,EGG,3,76.9
Loja 6,Jaqueta,G,3,99.13
Loja 1,Calça Skini,M,1,52.62
Loja 10,Pijama,P,7,84.39
Loja 1,Shorts,P,3,41.38
Loja 2,Shorts Academia,EGG,8,48.25
Loja 3,Bermuda,M,3,69.6
Loja 4,Top,G,5,18.67
Loja 4,Camiseta,G,1,24.38
Loja 9,Baby Look,G,3,80.33
Loja 8,Macacão,P,3,16.37
Loja 3,Pijama,G,9,70.15
Loja 5,Jaqueta,GG,4,67.04
Loja 5,Blazer,PP,3,55.68
Loja 5,Calça Skini,M,4,86.36
Loja 1,Jaqueta,EGG,5,12.87
Loja 9,Blazer,G,10,31.62
Loja 2,Baby Look,G,1,36.14
Loja 9,Bermuda,PP,5,66.48
Loja 9,Regata,P,8,33.4
Loja 8,Regata,PP,8,47.95
Loja 9,Calça Skini,GG,6,53.96
Loja 6,Jaqueta,G,2,59.49
Loja 2,Calça Skini,M,2,91.37
Loja 1,Jaqueta,GG,1,18.45
Loja 9,Pijama,P,4,43.98
Loja 7,Blusa,GG,1,20.06
Loja 10,Jaqueta,G,7,85.27
Loja 5,Top,PP,5,67.23
Loja 1,Calça Skini,GG,5,39.24
Loja 4,Shorts Academia,EGG,10,17.5
Loja 3,Calça Skini,PP,2,32.0
Loja 2,Bermuda,PP,2,90.23
Loja 5,Baby Look,M,3,37.32
